nidx,fips,date,precipitation,wind_gust,elevation,population
0,1,08/22/2021,0.0,0.0,20,62045
0,1,08/23/2021,0.0,0.0,20,62045
0,1,08/24/2021,0.51,38.2,20,62045
0,1,08/25/2021,0.11,32.2,20,62045
0,1,08/26/2021,0.22,23.0,20,62045
0,1,08/27/2021,0.02,19.7,20,62045
0,1,08/28/2021,0.72,17.2,20,62045
0,1,08/29/2021,0.16,37.4,20,62045
0,1,08/30/2021,0.09,27.2,20,62045
0,1,08/31/2021,0.93,17.2,20,62045
0,1,09/01/2021,0.98,21.9,20,62045
0,1,09/02/2021,0.44,26.4,20,62045
0,1,09/03/2021,0.23,21.9,20,62045
0,1,09/04/2021,0.01,0.0,20,62045
0,1,09/05/2021,0.02,21.9,20,62045
0,1,09/06/2021,0.38,0.0,20,62045
0,1,09/07/2021,0.09,0.0,20,62045
0,1,09/08/2021,0.04,0.0,20,62045
0,1,09/09/2021,0.01,21.9,20,62045
0,1,09/10/2021,0.0,18.3,20,62045
0,1,09/11/2021,0.0,17.2,20,62045
0,1,09/12/2021,0.14,24.2,20,62045
0,1,09/13/2021,0.1,19.7,20,62045
0,1,09/14/2021,2.91,32.2,20,62045
0,1,09/15/2021,1.32,19.7,20,62045
0,1,09/16/2021,0.41,17.2,20,62045
0,1,09/17/2021,0.0,0.0,20,62045
0,1,09/18/2021,0.1,0.0,20,62045
0,1,09/19/2021,0.06,0.0,20,62045
0,1,09/20/2021,0.01,0.0,20,62045
0,1,09/21/2021,0.89,32.2,20,62045
0,1,09/22/2021,0.69,29.2,20,62045
0,1,09/23/2021,0.0,0.0,20,62045
0,1,09/24/2021,0.0,0.0,20,62045
0,1,09/25/2021,0.0,20.8,20,62045
0,1,09/26/2021,0.0,0.0,20,62045
0,1,09/27/2021,0.0,19.7,20,62045
1,3,08/22/2021,0.0,0.0,39,25627
1,3,08/23/2021,0.02,0.0,39,25627
1,3,08/24/2021,0.28,0.0,39,25627
1,3,08/25/2021,0.04,0.0,39,25627
1,3,08/26/2021,0.29,23.0,39,25627
1,3,08/27/2021,0.03,17.2,39,25627
1,3,08/28/2021,0.5,17.2,39,25627
1,3,08/29/2021,0.12,25.3,39,25627
1,3,08/30/2021,0.04,24.4,39,25627
1,3,08/31/2021,0.03,0.0,39,25627
1,3,09/01/2021,0.07,19.7,39,25627
1,3,09/02/2021,0.16,26.4,39,25627
1,3,09/03/2021,1.15,21.9,39,25627
1,3,09/04/2021,0.02,0.0,39,25627
1,3,09/05/2021,0.01,16.1,39,25627
1,3,09/06/2021,0.34,20.8,39,25627
1,3,09/07/2021,0.0,0.0,39,25627
1,3,09/08/2021,0.0,0.0,39,25627
1,3,09/09/2021,0.0,20.8,39,25627
1,3,09/10/2021,0.0,20.5,39,25627
1,3,09/11/2021,0.0,0.0,39,25627
1,3,09/12/2021,0.04,24.2,39,25627
1,3,09/13/2021,0.05,19.7,39,25627
1,3,09/14/2021,3.44,26.4,39,25627
1,3,09/15/2021,2.28,18.3,39,25627
1,3,09/16/2021,0.08,0.0,39,25627
1,3,09/17/2021,0.09,0.0,39,25627
1,3,09/18/2021,0.08,0.0,39,25627
1,3,09/19/2021,0.22,0.0,39,25627
1,3,09/20/2021,1.19,0.0,39,25627
1,3,09/21/2021,0.09,0.0,39,25627
1,3,09/22/2021,0.1,26.4,39,25627
1,3,09/23/2021,0.0,0.0,39,25627
1,3,09/24/2021,0.0,0.0,39,25627
1,3,09/25/2021,0.0,0.0,39,25627
1,3,09/26/2021,0.0,0.0,39,25627
1,3,09/27/2021,0.0,19.7,39,25627
2,5,08/22/2021,0.0,0.0,10,126604
2,5,08/23/2021,0.12,20.8,10,126604
2,5,08/24/2021,0.15,18.3,10,126604
2,5,08/25/2021,0.68,39.1,10,126604
2,5,08/26/2021,0.22,33.3,10,126604
2,5,08/27/2021,0.21,18.3,10,126604
2,5,08/28/2021,0.2,30.0,10,126604
2,5,08/29/2021,4.47,56.0,10,126604
2,5,08/30/2021,0.31,50.7,10,126604
2,5,08/31/2021,0.46,0.0,10,126604
2,5,09/01/2021,0.01,20.8,10,126604
2,5,09/02/2021,0.29,0.0,10,126604
2,5,09/03/2021,0.0,0.0,10,126604
2,5,09/04/2021,0.0,16.1,10,126604
2,5,09/05/2021,0.02,40.3,10,126604
2,5,09/06/2021,0.04,0.0,10,126604
2,5,09/07/2021,0.01,20.8,10,126604
2,5,09/08/2021,0.0,0.0,10,126604
2,5,09/09/2021,0.0,21.9,10,126604
2,5,09/10/2021,0.0,17.2,10,126604
2,5,09/11/2021,0.0,20.8,10,126604
2,5,09/12/2021,0.42,26.5,10,126604
2,5,09/13/2021,0.41,17.2,10,126604
2,5,09/14/2021,2.26,35.6,10,126604
2,5,09/15/2021,2.18,34.4,10,126604
2,5,09/16/2021,0.76,18.3,10,126604
2,5,09/17/2021,0.68,16.1,10,126604
2,5,09/18/2021,1.06,19.7,10,126604
2,5,09/19/2021,0.3,0.0,10,126604
2,5,09/20/2021,0.11,0.0,10,126604
2,5,09/21/2021,0.24,27.4,10,126604
2,5,09/22/2021,0.02,28.9,10,126604
2,5,09/23/2021,0.0,20.8,10,126604
2,5,09/24/2021,0.03,0.0,10,126604
2,5,09/25/2021,0.0,0.0,10,126604
2,5,09/26/2021,0.0,0.0,10,126604
2,5,09/27/2021,0.12,0.0,10,126604
3,7,08/22/2021,0.0,0.0,3,21891
3,7,08/23/2021,0.11,0.0,3,21891
3,7,08/24/2021,0.55,32.4,3,21891
3,7,08/25/2021,0.37,0.0,3,21891
3,7,08/26/2021,0.62,29.8,3,21891
3,7,08/27/2021,0.25,17.2,3,21891
3,7,08/28/2021,0.44,29.9,3,21891
3,7,08/29/2021,3.29,58.1,3,21891
3,7,08/30/2021,0.18,50.9,3,21891
3,7,08/31/2021,0.1,19.7,3,21891
3,7,09/01/2021,0.02,20.8,3,21891
3,7,09/02/2021,0.97,26.4,3,21891
3,7,09/03/2021,0.0,0.0,3,21891
3,7,09/04/2021,0.0,0.0,3,21891
3,7,09/05/2021,0.04,0.0,3,21891
3,7,09/06/2021,0.03,0.0,3,21891
3,7,09/07/2021,0.04,20.8,3,21891
3,7,09/08/2021,0.0,0.0,3,21891
3,7,09/09/2021,0.0,21.9,3,21891
3,7,09/10/2021,0.0,17.2,3,21891
3,7,09/11/2021,0.0,20.8,3,21891
3,7,09/12/2021,0.47,22.4,3,21891
3,7,09/13/2021,0.35,17.2,3,21891
3,7,09/14/2021,3.46,32.2,3,21891
3,7,09/15/2021,2.08,34.4,3,21891
3,7,09/16/2021,0.79,18.3,3,21891
3,7,09/17/2021,0.74,0.0,3,21891
3,7,09/18/2021,1.23,19.7,3,21891
3,7,09/19/2021,0.45,0.0,3,21891
3,7,09/20/2021,0.31,24.2,3,21891
3,7,09/21/2021,0.32,29.8,3,21891
3,7,09/22/2021,0.04,28.9,3,21891
3,7,09/23/2021,0.01,20.8,3,21891
3,7,09/24/2021,0.06,0.0,3,21891
3,7,09/25/2021,0.01,0.0,3,21891
3,7,09/26/2021,0.0,0.0,3,21891
3,7,09/27/2021,0.14,18.3,3,21891
4,9,08/22/2021,0.0,0.0,49,40144
4,9,08/23/2021,0.0,0.0,49,40144
4,9,08/24/2021,0.13,32.2,49,40144
4,9,08/25/2021,0.05,0.0,49,40144
4,9,08/26/2021,0.3,33.0,49,40144
4,9,08/27/2021,0.08,27.0,49,40144
4,9,08/28/2021,0.12,31.0,49,40144
4,9,08/29/2021,0.03,28.9,49,40144
4,9,08/30/2021,0.19,32.2,49,40144
4,9,08/31/2021,0.33,17.2,49,40144
4,9,09/01/2021,0.0,0.0,49,40144
4,9,09/02/2021,0.35,39.1,49,40144
4,9,09/03/2021,0.0,0.0,49,40144
4,9,09/04/2021,0.0,0.0,49,40144
4,9,09/05/2021,0.62,26.4,49,40144
4,9,09/06/2021,0.51,0.0,49,40144
4,9,09/07/2021,0.0,0.0,49,40144
4,9,09/08/2021,0.0,0.0,49,40144
4,9,09/09/2021,0.0,19.7,49,40144
4,9,09/10/2021,0.0,19.7,49,40144
4,9,09/11/2021,0.0,16.1,49,40144
4,9,09/12/2021,0.07,32.2,49,40144
4,9,09/13/2021,0.02,0.0,49,40144
4,9,09/14/2021,1.29,26.4,49,40144
4,9,09/15/2021,1.32,26.0,49,40144
4,9,09/16/2021,0.4,19.7,49,40144
4,9,09/17/2021,0.26,17.2,49,40144
4,9,09/18/2021,0.17,0.0,49,40144
4,9,09/19/2021,0.13,0.0,49,40144
4,9,09/20/2021,0.0,0.0,49,40144
4,9,09/21/2021,0.61,35.5,49,40144
4,9,09/22/2021,0.01,27.3,49,40144
4,9,09/23/2021,0.0,0.0,49,40144
4,9,09/24/2021,0.0,0.0,49,40144
4,9,09/25/2021,0.0,0.0,49,40144
4,9,09/26/2021,0.0,0.0,49,40144
4,9,09/27/2021,0.0,0.0,49,40144
5,11,08/22/2021,0.0,0.0,141,37497
5,11,08/23/2021,0.0,0.0,141,37497
5,11,08/24/2021,1.5,35.8,141,37497
5,11,08/25/2021,0.51,0.0,141,37497
5,11,08/26/2021,0.31,35.8,141,37497
5,11,08/27/2021,0.1,17.2,141,37497
5,11,08/28/2021,0.14,20.8,141,37497
5,11,08/29/2021,0.24,20.8,141,37497
5,11,08/30/2021,0.0,23.0,141,37497
5,11,08/31/2021,0.01,16.1,141,37497
5,11,09/01/2021,0.49,16.1,141,37497
5,11,09/02/2021,0.0,0.0,141,37497
5,11,09/03/2021,0.0,21.9,141,37497
5,11,09/04/2021,0.0,0.0,141,37497
5,11,09/05/2021,0.0,0.0,141,37497
5,11,09/06/2021,0.75,20.8,141,37497
5,11,09/07/2021,0.3,0.0,141,37497
5,11,09/08/2021,0.26,0.0,141,37497
5,11,09/09/2021,0.07,0.0,141,37497
5,11,09/10/2021,0.0,18.3,141,37497
5,11,09/11/2021,0.0,0.0,141,37497
5,11,09/12/2021,0.16,17.2,141,37497
5,11,09/13/2021,0.05,0.0,141,37497
5,11,09/14/2021,1.6,23.0,141,37497
5,11,09/15/2021,0.51,20.8,141,37497
5,11,09/16/2021,0.31,0.0,141,37497
5,11,09/17/2021,0.13,0.0,141,37497
5,11,09/18/2021,0.11,0.0,141,37497
5,11,09/19/2021,0.27,16.1,141,37497
5,11,09/20/2021,0.05,0.0,141,37497
5,11,09/21/2021,0.16,0.0,141,37497
5,11,09/22/2021,0.01,24.7,141,37497
5,11,09/23/2021,0.0,0.0,141,37497
5,11,09/24/2021,0.0,0.0,141,37497
5,11,09/25/2021,0.0,0.0,141,37497
5,11,09/26/2021,0.0,0.0,141,37497
5,11,09/27/2021,0.0,0.0,141,37497
6,13,08/22/2021,0.0,0.0,302,13241
6,13,08/23/2021,0.0,0.0,302,13241
6,13,08/24/2021,0.0,0.0,302,13241
6,13,08/25/2021,0.28,0.0,302,13241
6,13,08/26/2021,0.01,0.0,302,13241
6,13,08/27/2021,0.0,17.2,302,13241
6,13,08/28/2021,0.65,20.8,302,13241
6,13,08/29/2021,0.23,17.2,302,13241
6,13,08/30/2021,0.16,23.0,302,13241
6,13,08/31/2021,0.07,0.0,302,13241
6,13,09/01/2021,0.0,0.0,302,13241
6,13,09/02/2021,0.0,0.0,302,13241
6,13,09/03/2021,0.0,0.0,302,13241
6,13,09/04/2021,0.04,0.0,302,13241
6,13,09/05/2021,0.12,19.7,302,13241
6,13,09/06/2021,0.0,0.0,302,13241
6,13,09/07/2021,0.0,0.0,302,13241
6,13,09/08/2021,0.0,0.0,302,13241
6,13,09/09/2021,0.0,0.0,302,13241
6,13,09/10/2021,0.0,0.0,302,13241
6,13,09/11/2021,0.0,0.0,302,13241
6,13,09/12/2021,0.0,0.0,302,13241
6,13,09/13/2021,0.0,0.0,302,13241
6,13,09/14/2021,0.1,23.0,302,13241
6,13,09/15/2021,0.0,17.6,302,13241
6,13,09/16/2021,0.0,16.1,302,13241
6,13,09/17/2021,1.18,0.0,302,13241
6,13,09/18/2021,1.04,0.0,302,13241
6,13,09/19/2021,0.36,0.0,302,13241
6,13,09/20/2021,0.0,0.0,302,13241
6,13,09/21/2021,0.25,26.1,302,13241
6,13,09/22/2021,0.0,20.6,302,13241
6,13,09/23/2021,0.0,0.0,302,13241
6,13,09/24/2021,0.0,0.0,302,13241
6,13,09/25/2021,0.0,0.0,302,13241
6,13,09/26/2021,0.0,0.0,302,13241
6,13,09/27/2021,0.0,0.0,302,13241
7,15,08/22/2021,0.0,0.0,475,127039
7,15,08/23/2021,0.0,0.0,475,127039
7,15,08/24/2021,0.0,0.0,475,127039
7,15,08/25/2021,0.0,0.0,475,127039
7,15,08/26/2021,0.0,0.0,475,127039
7,15,08/27/2021,0.0,17.2,475,127039
7,15,08/28/2021,0.26,33.3,475,127039
7,15,08/29/2021,0.29,17.2,475,127039
7,15,08/30/2021,0.0,23.0,475,127039
7,15,08/31/2021,0.11,0.0,475,127039
7,15,09/01/2021,0.01,0.0,475,127039
7,15,09/02/2021,0.0,0.0,475,127039
7,15,09/03/2021,0.0,0.0,475,127039
7,15,09/04/2021,0.0,0.0,475,127039
7,15,09/05/2021,0.03,19.7,475,127039
7,15,09/06/2021,0.0,0.0,475,127039
7,15,09/07/2021,0.0,0.0,475,127039
7,15,09/08/2021,0.0,0.0,475,127039
7,15,09/09/2021,0.0,26.4,475,127039
7,15,09/10/2021,0.0,0.0,475,127039
7,15,09/11/2021,0.0,0.0,475,127039
7,15,09/12/2021,0.0,0.0,475,127039
7,15,09/13/2021,0.0,0.0,475,127039
7,15,09/14/2021,0.01,23.0,475,127039
7,15,09/15/2021,0.0,24.2,475,127039
7,15,09/16/2021,0.0,16.1,475,127039
7,15,09/17/2021,0.13,0.0,475,127039
7,15,09/18/2021,1.19,0.0,475,127039
7,15,09/19/2021,0.04,0.0,475,127039
7,15,09/20/2021,0.0,0.0,475,127039
7,15,09/21/2021,0.16,27.9,475,127039
7,15,09/22/2021,0.0,23.6,475,127039
7,15,09/23/2021,0.0,0.0,475,127039
7,15,09/24/2021,0.0,0.0,475,127039
7,15,09/25/2021,0.0,0.0,475,127039
7,15,09/26/2021,0.0,0.0,475,127039
7,15,09/27/2021,0.0,16.1,475,127039
8,17,08/22/2021,0.0,0.0,410,240204
8,17,08/23/2021,0.0,0.0,410,240204
8,17,08/24/2021,0.0,0.0,410,240204
8,17,08/25/2021,0.08,0.0,410,240204
8,17,08/26/2021,0.0,0.0,410,240204
8,17,08/27/2021,0.0,17.2,410,240204
8,17,08/28/2021,0.2,32.2,410,240204
8,17,08/29/2021,0.23,33.3,410,240204
8,17,08/30/2021,0.0,23.0,410,240204
8,17,08/31/2021,0.07,17.2,410,240204
8,17,09/01/2021,0.01,23.0,410,240204
8,17,09/02/2021,0.0,0.0,410,240204
8,17,09/03/2021,0.0,0.0,410,240204
8,17,09/04/2021,0.0,0.0,410,240204
8,17,09/05/2021,0.04,16.1,410,240204
8,17,09/06/2021,0.0,18.3,410,240204
8,17,09/07/2021,0.0,18.3,410,240204
8,17,09/08/2021,0.0,0.0,410,240204
8,17,09/09/2021,0.0,25.8,410,240204
8,17,09/10/2021,0.0,0.0,410,240204
8,17,09/11/2021,0.0,0.0,410,240204
8,17,09/12/2021,0.0,20.8,410,240204
8,17,09/13/2021,0.01,0.0,410,240204
8,17,09/14/2021,0.02,25.3,410,240204
8,17,09/15/2021,0.0,23.0,410,240204
8,17,09/16/2021,0.0,0.0,410,240204
8,17,09/17/2021,0.11,0.0,410,240204
8,17,09/18/2021,0.75,0.0,410,240204
8,17,09/19/2021,0.0,0.0,410,240204
8,17,09/20/2021,0.0,0.0,410,240204
8,17,09/21/2021,0.06,28.5,410,240204
8,17,09/22/2021,0.0,24.9,410,240204
8,17,09/23/2021,0.0,0.0,410,240204
8,17,09/24/2021,0.0,0.0,410,240204
8,17,09/25/2021,0.0,31.1,410,240204
8,17,09/26/2021,0.0,0.0,410,240204
8,17,09/27/2021,0.0,16.1,410,240204
9,19,08/22/2021,0.0,0.0,95,203436
9,19,08/23/2021,0.0,0.0,95,203436
9,19,08/24/2021,0.85,22.8,95,203436
9,19,08/25/2021,0.2,0.0,95,203436
9,19,08/26/2021,0.25,32.0,95,203436
9,19,08/27/2021,0.03,21.9,95,203436
9,19,08/28/2021,0.24,20.8,95,203436
9,19,08/29/2021,0.03,30.5,95,203436
9,19,08/30/2021,0.0,23.2,95,203436
9,19,08/31/2021,3.04,36.2,95,203436
9,19,09/01/2021,0.18,29.9,95,203436
9,19,09/02/2021,0.09,0.0,95,203436
9,19,09/03/2021,0.0,0.0,95,203436
9,19,09/04/2021,0.04,21.9,95,203436
9,19,09/05/2021,0.41,31.1,95,203436
9,19,09/06/2021,0.77,20.8,95,203436
9,19,09/07/2021,0.13,0.0,95,203436
9,19,09/08/2021,0.1,17.2,95,203436
9,19,09/09/2021,0.02,21.9,95,203436
9,19,09/10/2021,0.0,21.9,95,203436
9,19,09/11/2021,0.0,16.1,95,203436
9,19,09/12/2021,0.27,24.9,95,203436
9,19,09/13/2021,0.29,19.7,95,203436
9,19,09/14/2021,2.7,36.8,95,203436
9,19,09/15/2021,0.4,20.8,95,203436
9,19,09/16/2021,0.2,18.3,95,203436
9,19,09/17/2021,0.04,0.0,95,203436
9,19,09/18/2021,0.12,0.0,95,203436
9,19,09/19/2021,0.28,18.0,95,203436
9,19,09/20/2021,0.02,17.2,95,203436
9,19,09/21/2021,0.03,25.3,95,203436
9,19,09/22/2021,0.03,29.4,95,203436
9,19,09/23/2021,0.0,18.3,95,203436
9,19,09/24/2021,0.0,0.0,95,203436
9,19,09/25/2021,0.0,18.3,95,203436
9,19,09/26/2021,0.0,0.0,95,203436
9,19,09/27/2021,0.0,17.2,95,203436
10,21,08/22/2021,0.02,24.2,171,9918
10,21,08/23/2021,0.0,0.0,171,9918
10,21,08/24/2021,0.0,0.0,171,9918
10,21,08/25/2021,0.15,0.0,171,9918
10,21,08/26/2021,0.18,19.7,171,9918
10,21,08/27/2021,0.0,26.4,171,9918
10,21,08/28/2021,0.42,0.0,171,9918
10,21,08/29/2021,0.07,28.9,171,9918
10,21,08/30/2021,0.51,36.8,171,9918
10,21,08/31/2021,0.0,0.0,171,9918
10,21,09/01/2021,0.0,32.2,171,9918
10,21,09/02/2021,0.0,0.0,171,9918
10,21,09/03/2021,0.0,0.0,171,9918
10,21,09/04/2021,0.02,0.0,171,9918
10,21,09/05/2021,0.31,39.1,171,9918
10,21,09/06/2021,0.0,19.7,171,9918
10,21,09/07/2021,0.0,0.0,171,9918
10,21,09/08/2021,0.0,0.0,171,9918
10,21,09/09/2021,0.0,18.3,171,9918
10,21,09/10/2021,0.0,0.0,171,9918
10,21,09/11/2021,0.0,0.0,171,9918
10,21,09/12/2021,0.0,0.0,171,9918
10,21,09/13/2021,0.0,0.0,171,9918
10,21,09/14/2021,0.12,0.0,171,9918
10,21,09/15/2021,0.0,21.9,171,9918
10,21,09/16/2021,0.0,0.0,171,9918
10,21,09/17/2021,0.87,0.0,171,9918
10,21,09/18/2021,0.36,0.0,171,9918
10,21,09/19/2021,0.51,0.0,171,9918
10,21,09/20/2021,0.0,0.0,171,9918
10,21,09/21/2021,0.14,28.2,171,9918
10,21,09/22/2021,0.0,25.3,171,9918
10,21,09/23/2021,0.0,16.1,171,9918
10,21,09/24/2021,0.0,0.0,171,9918
10,21,09/25/2021,0.0,0.0,171,9918
10,21,09/26/2021,0.0,0.0,171,9918
10,21,09/27/2021,0.0,0.0,171,9918
11,23,08/22/2021,0.0,0.0,3,6973
11,23,08/23/2021,0.0,0.0,3,6973
11,23,08/24/2021,0.99,26.4,3,6973
11,23,08/25/2021,0.0,0.0,3,6973
11,23,08/26/2021,0.17,33.3,3,6973
11,23,08/27/2021,0.23,21.9,3,6973
11,23,08/28/2021,0.26,20.8,3,6973
11,23,08/29/2021,0.0,30.6,3,6973
11,23,08/30/2021,0.0,24.1,3,6973
11,23,08/31/2021,3.04,36.2,3,6973
11,23,09/01/2021,0.21,29.9,3,6973
11,23,09/02/2021,0.15,0.0,3,6973
11,23,09/03/2021,0.0,0.0,3,6973
11,23,09/04/2021,0.03,21.9,3,6973
11,23,09/05/2021,0.41,31.1,3,6973
11,23,09/06/2021,0.48,0.0,3,6973
11,23,09/07/2021,0.0,0.0,3,6973
11,23,09/08/2021,0.0,17.2,3,6973
11,23,09/09/2021,0.0,21.2,3,6973
11,23,09/10/2021,0.0,21.9,3,6973
11,23,09/11/2021,0.0,16.1,3,6973
11,23,09/12/2021,0.22,27.6,3,6973
11,23,09/13/2021,0.45,20.4,3,6973
11,23,09/14/2021,2.99,36.8,3,6973
11,23,09/15/2021,0.34,20.8,3,6973
11,23,09/16/2021,0.1,18.3,3,6973
11,23,09/17/2021,0.0,0.0,3,6973
11,23,09/18/2021,0.14,0.0,3,6973
11,23,09/19/2021,0.29,18.3,3,6973
11,23,09/20/2021,0.0,17.2,3,6973
11,23,09/21/2021,0.02,25.3,3,6973
11,23,09/22/2021,0.03,29.5,3,6973
11,23,09/23/2021,0.0,18.3,3,6973
11,23,09/24/2021,0.0,0.0,3,6973
11,23,09/25/2021,0.0,18.3,3,6973
11,23,09/26/2021,0.0,0.0,3,6973
11,23,09/27/2021,0.0,17.2,3,6973
12,25,08/22/2021,0.0,0.0,49,9494
12,25,08/23/2021,0.0,0.0,49,9494
12,25,08/24/2021,0.01,0.0,49,9494
12,25,08/25/2021,0.0,0.0,49,9494
12,25,08/26/2021,0.49,35.3,49,9494
12,25,08/27/2021,0.06,27.0,49,9494
12,25,08/28/2021,0.05,30.9,49,9494
12,25,08/29/2021,0.03,27.6,49,9494
12,25,08/30/2021,0.32,34.4,49,9494
12,25,08/31/2021,0.0,17.2,49,9494
12,25,09/01/2021,0.01,35.7,49,9494
12,25,09/02/2021,0.33,39.1,49,9494
12,25,09/03/2021,0.0,0.0,49,9494
12,25,09/04/2021,0.0,0.0,49,9494
12,25,09/05/2021,0.46,26.4,49,9494
12,25,09/06/2021,0.46,0.0,49,9494
12,25,09/07/2021,0.0,0.0,49,9494
12,25,09/08/2021,0.0,0.0,49,9494
12,25,09/09/2021,0.0,19.1,49,9494
12,25,09/10/2021,0.0,19.7,49,9494
12,25,09/11/2021,0.0,17.2,49,9494
12,25,09/12/2021,0.07,32.2,49,9494
12,25,09/13/2021,0.01,0.0,49,9494
12,25,09/14/2021,0.87,26.4,49,9494
12,25,09/15/2021,2.53,34.4,49,9494
12,25,09/16/2021,0.07,19.7,49,9494
12,25,09/17/2021,0.2,17.2,49,9494
12,25,09/18/2021,0.21,0.0,49,9494
12,25,09/19/2021,0.42,0.0,49,9494
12,25,09/20/2021,0.1,0.0,49,9494
12,25,09/21/2021,0.49,33.3,49,9494
12,25,09/22/2021,0.01,26.4,49,9494
12,25,09/23/2021,0.0,0.0,49,9494
12,25,09/24/2021,0.0,0.0,49,9494
12,25,09/25/2021,0.0,0.0,49,9494
12,25,09/26/2021,0.0,0.0,49,9494
12,25,09/27/2021,0.0,0.0,49,9494
13,27,08/22/2021,0.0,0.0,276,15670
13,27,08/23/2021,0.0,0.0,276,15670
13,27,08/24/2021,0.0,0.0,276,15670
13,27,08/25/2021,0.49,39.1,276,15670
13,27,08/26/2021,0.17,0.0,276,15670
13,27,08/27/2021,0.0,0.0,276,15670
13,27,08/28/2021,0.28,0.0,276,15670
